Sun Jun  7 00:58:16 2026    profile.prof

         87521198 function calls (84105556 primitive calls) in 212.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   180999    0.696    0.000    1.586    0.000 /usr/lib/python3.10/logging/__init__.py:1315(getLogger)
   216698    0.671    0.000    1.330    0.000 {built-in method builtins.sorted}
   142947    0.661    0.000    0.661    0.000 /home/fresh/.local/lib/python3.10/site-packages/pygame/sprite.py:382(sprites)
   876535    0.638    0.000    0.638    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:248(<lambda>)
    94038    0.632    0.000   14.414    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:664(update)
    52556    0.611    0.000    2.711    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:35(parry)
  1121056    0.610    0.000    0.610    0.000 {built-in method pygame.time.get_ticks}
   137250    0.592    0.000    1.009    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:31(_cell_coords_for_rect)
   879949    0.575    0.000    0.912    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:80(_grass_disturbance_enabled)
    88764    0.535    0.000    1.234    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/AnimatedEnvironmentSprite.py:44(update)
   434881    0.527    0.000   13.511    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/QuadTree.py:213(hit)
   117847    0.518    0.000    1.020    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:1108(apply_environmental_damage)
    32080    0.505    0.000    1.773    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:560(_resolve_entity_collisions_simple)
        2    0.503    0.252    0.504    0.252 {built-in method pygame.display.set_mode}
        1    0.499    0.499    0.952    0.952 Main2.py:39(__init__)
    69490    0.499    0.000    0.499    0.000 {built-in method pygame.draw.rect}
   181000    0.489    0.000    2.128    0.000 /usr/lib/python3.10/logging/__init__.py:2071(getLogger)
1405455/1405305    0.489    0.000    0.489    0.000 {built-in method builtins.hash}
   164203    0.442    0.000    0.442    0.000 <string>:2(__init__)
   135464    0.439    0.000    0.845    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:609(receive_interaction)
   111216    0.436    0.000   31.732    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:682(combat_update)
   174027    0.427    0.000    0.427    0.000 {method 'overlap_area' of 'pygame.mask.Mask' objects}
   104388    0.422    0.000    1.427    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:404(_aggro_cache_valid)
    92806    0.376    0.000    0.598    0.000 /usr/lib/python3.10/posixpath.py:100(split)
     3414    0.372    0.000    1.020    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1193(handle_item_collection)
    11492    0.372    0.000    9.421    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:613(render)
   427494    0.367    0.000    0.610    0.000 /usr/lib/python3.10/logging/__init__.py:1455(debug)
    13047    0.362    0.000    0.362    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:460(<listcomp>)
   892643    0.354    0.000    0.354    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:72(_grass_benchmark_active)
   131803    0.352    0.000    0.353    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:1168(receive_interaction)
     3414    0.351    0.000    1.275    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Spawner.py:298(handle_spawn_areas)
  1167323    0.351    0.000    0.351    0.000 {method 'append' of 'list' objects}
   137559    0.345    0.000    3.450    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:153(insert)
     3414    0.344    0.000    0.675    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:2031(<dictcomp>)
      751    0.343    0.000    2.425    0.003 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/PlayerConfiguration.py:87(draw)
   121277    0.333    0.000   19.029    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:147(hit)
    56342    0.331    0.000    5.073    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:497(actions)
   461264    0.329    0.000    0.335    0.000 {built-in method builtins.max}
     3414    0.313    0.000    0.493    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1195(<listcomp>)
   479093    0.312    0.000    0.312    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:9(_benchmark_metrics_active)
   135248    0.312    0.000    0.319    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:417(_apply_force_one_blade)
        1    0.302    0.302  210.452  210.452 Main2.py:263(run)
   180836    0.294    0.000    2.419    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/game_logging.py:213(get_collision_mask_logger)
     4056    0.284    0.000    0.633    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Inventory.py:141(draw_belt_hud)
        2    0.281    0.141    1.746    0.873 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/navigation/walk_grid.py:64(build_walk_grid)
   357816    0.279    0.000    0.460    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:13(_record_benchmark_maintenance)
   181052    0.275    0.000    0.477    0.000 /usr/lib/python3.10/logging/__init__.py:219(_acquireLock)
     6232    0.274    0.000    0.274    0.000 {built-in method io.open}
   135363    0.267    0.000    0.267    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
    17333    0.259    0.000    3.607    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/entities/tribe_member.py:129(update)
690415/689376    0.255    0.000    0.256    0.000 {built-in method builtins.len}
     1474    0.250    0.000    0.250    0.000 {built-in method pygame.transform.scale}
   287909    0.248    0.000    0.248    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
   315896    0.247    0.000    0.253    0.000 {built-in method builtins.min}
   173092    0.243    0.000    0.462    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:549(_blade_render_rotation)
   941877    0.236    0.000    0.236    0.000 {built-in method builtins.abs}
